species;decimallat;decimallon
Papilio machaon;50.78293;4.950530000000000
Papilio machaon;50.82787;4.952400000000000
Papilio machaon;50.74238;4.665360000000000
Papilio machaon;50.83228;4.668550000000000
Papilio machaon;50.83228;4.668550000000000
Papilio machaon;51.10874;4.107070000000000
Papilio machaon;51.10874;4.107070000000000
Papilio machaon;51.10874;4.107070000000000
Papilio machaon;51.10804;4.178480000000000
Papilio machaon;51.06379;4.106000000000000
Papilio machaon;51.10874;4.107070000000000
Papilio machaon;50.95891;5.171500000000000
Papilio machaon;51.15225;4.251100000000000
Papilio machaon;50.95891;5.171500000000000
Papilio machaon;51.09500;5.106450000000000
Papilio machaon;51.09627;5.035100000000000
Papilio machaon;51.09749;4.963740000000000
Papilio machaon;51.09500;5.106450000000000
Papilio machaon;51.27341;5.186290000000000
Papilio machaon;51.09749;4.963740000000000
Papilio machaon;51.09500;5.106450000000000
Papilio machaon;50.84226;3.674650000000000
Papilio machaon;50.87618;4.741190000000000
Papilio machaon;50.97166;4.317460000000000
Papilio machaon;50.88176;4.314920000000000
Papilio machaon;50.75363;3.389850000000000
Papilio machaon;51.45572;5.051050000000000
Papilio machaon;50.79919;3.106430000000000
Papilio machaon;50.75363;3.389850000000000
Papilio machaon;50.79911;3.177380000000000
Papilio machaon;50.70888;3.318660000000000
Papilio machaon;50.84329;3.461610000000000
Papilio machaon;50.95617;5.313770000000000
Papilio machaon;50.79103;4.383310000000000
Papilio machaon;50.79103;4.383310000000000
Papilio machaon;50.79103;4.383310000000000
Papilio machaon;50.79103;4.383310000000000
Papilio machaon;50.79103;4.383310000000000
Papilio machaon;50.79103;4.383310000000000
Papilio machaon;50.79103;4.383310000000000
Papilio machaon;50.79103;4.383310000000000
Papilio machaon;50.79103;4.383310000000000
Papilio machaon;50.79103;4.383310000000000
Papilio machaon;51.19641;4.323850000000000
Papilio machaon;51.45814;4.907200000000000
Papilio machaon;50.84415;3.106520000000000
Papilio machaon;51.19470;4.466920000000000
Papilio machaon;51.10873;4.107070000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;50.83758;4.242660000000000
Papilio machaon;51.22848;5.184160000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.84406;3.177540000000000
Papilio machaon;50.79910;2.822620000000000
Papilio machaon;50.83680;4.313650000000000
